,Price
2022-02-19,48.922386684682465
2022-02-20,49.6870531875691
2022-02-21,50.30254268517381
2022-02-22,49.833035253654344
2022-02-23,49.232828276624495
2022-02-24,49.89356467264463
2022-02-25,48.98071981329075
2022-02-26,48.98071981329075
2022-02-27,48.98071981329075
2022-02-28,51.16601154649306
2022-03-01,55.305678663554836
2022-03-02,59.11248003930721
2022-03-03,58.04884842156982
2022-03-04,63.00937292715882
2022-03-05,63.00937292715882
2022-03-06,63.00937292715882
2022-03-07,65.50999877164968
2022-03-08,67.40141260287434
2022-03-09,58.241392335093956
2022-03-10,57.57369979118044
2022-03-11,59.82231298366293
2022-03-12,59.82231298366293
2022-03-13,59.82231298366293
2022-03-14,56.79801007247267
2022-03-15,53.1410834049871
2022-03-16,52.09471625107481
2022-03-17,56.281461122712194
2022-03-18,57.29403083159317
2022-03-19,57.29403083159317
2022-03-20,57.29403083159317
2022-03-21,61.300068787618216
2022-03-22,60.83604901117798
2022-03-23,62.494849527085115
2022-03-24,61.10659378454736
2022-03-25,62.09183024198501
2022-03-26,62.09183024198501
2022-03-27,62.09183024198501
2022-03-28,57.83948654956393
2022-03-29,56.52173565900995
2022-03-30,58.15580395528805
2022-03-31,54.663412357204265
2022-04-01,54.379535683576954
2022-04-02,54.379535683576954
2022-04-03,54.379535683576954
2022-04-04,56.99337182164353
2022-04-05,56.69047045817467
2022-04-06,53.76993981083404
2022-04-07,53.914286328460875
2022-04-08,55.1674505588994
2022-04-09,55.1674505588994
2022-04-10,55.1674505588994
2022-04-11,52.99944478565286
2022-04-12,56.798003930721045
2022-04-13,58.54362854686157
2022-04-14,60.32468615649183
2022-04-15,60.44229087335708
2022-04-16,60.44229087335708
2022-04-17,60.44229087335708
2022-04-18,61.286545264709495
2022-04-19,58.088650042992256
2022-04-20,57.81687016337059
2022-04-21,58.33472546370224
2022-04-22,57.488401302051344
2022-04-23,57.488401302051344
2022-04-24,57.488401302051344
2022-04-25,55.98538938705318
2022-04-26,57.96300147402039
2022-04-27,58.564075666380056
2022-04-28,60.51107603488515
2022-04-29,59.954552266306344
2022-04-30,59.954552266306344
2022-05-01,59.954552266306344
2022-05-02,60.4564279572534
2022-05-03,58.884154280800885
2022-05-04,61.40170986365312
2022-05-05,62.17431273799287
2022-05-06,63.03392826434099
2022-05-07,63.03392826434099
2022-05-08,63.03392826434099
2022-05-09,59.19811263972485
2022-05-10,57.41808131679155
2022-05-11,60.76190271465421
2022-05-12,61.7666871391721
2022-05-13,64.06247758260656
2022-05-14,64.06247758260656
2022-05-15,64.06247758260656
2022-05-16,65.81323301805675
2022-05-17,63.817291487532245
2022-05-18,62.789524628424026
2022-05-19,63.72567129345289
2022-05-20,64.11438889571306
2022-05-21,64.11438889571306
